id,dtc_code,question,expected_answer,docs_path,template_id,question_mode,code_index
31,P0278,P0278,Cylinder 6 Contribution/Balance Fault,knowledge\diagnostics\fault_codes_database.md,1,code_to_description,6
32,P0278,Cylinder 6 Contribution/Balance Fault,P0278,knowledge\diagnostics\fault_codes_database.md,2,description_to_code,6
33,P0278,What does P0278 mean?,Cylinder 6 Contribution/Balance Fault,knowledge\diagnostics\fault_codes_database.md,3,nl_what_does_mean,6
34,P0278,What is P0278?,Cylinder 6 Contribution/Balance Fault,knowledge\diagnostics\fault_codes_database.md,4,nl_what_is,6
35,P0278,What causes fault code P0278?,Cylinder 6 Contribution/Balance Fault,knowledge\diagnostics\fault_codes_database.md,5,nl_what_causes,6
36,P0278,Cylinder Contribution/Balance Fault,P0278,knowledge\diagnostics\fault_codes_database.md,6,keyword_fragment,6
37,P0343,P0343,Camshaft Position Sensor Circuit High Input,knowledge\diagnostics\fault_codes_database.md,1,code_to_description,7
38,P0343,Camshaft Position Sensor Circuit High Input,P0343,knowledge\diagnostics\fault_codes_database.md,2,description_to_code,7
39,P0343,What does P0343 mean?,Camshaft Position Sensor Circuit High Input,knowledge\diagnostics\fault_codes_database.md,3,nl_what_does_mean,7
40,P0343,What is P0343?,Camshaft Position Sensor Circuit High Input,knowledge\diagnostics\fault_codes_database.md,4,nl_what_is,7
41,P0343,What causes fault code P0343?,Camshaft Position Sensor Circuit High Input,knowledge\diagnostics\fault_codes_database.md,5,nl_what_causes,7
42,P0343,Camshaft Position,P0343,knowledge\diagnostics\fault_codes_database.md,6,keyword_fragment,7
43,P0422,P0422,Main Catalyst Efficiency Below Threshold (Bank 1),knowledge\diagnostics\fault_codes_database.md,1,code_to_description,8
44,P0422,Main Catalyst Efficiency Below Threshold (Bank 1),P0422,knowledge\diagnostics\fault_codes_database.md,2,description_to_code,8
45,P0422,What does P0422 mean?,Main Catalyst Efficiency Below Threshold (Bank 1),knowledge\diagnostics\fault_codes_database.md,3,nl_what_does_mean,8
46,P0422,What is P0422?,Main Catalyst Efficiency Below Threshold (Bank 1),knowledge\diagnostics\fault_codes_database.md,4,nl_what_is,8
47,P0422,What causes fault code P0422?,Main Catalyst Efficiency Below Threshold (Bank 1),knowledge\diagnostics\fault_codes_database.md,5,nl_what_causes,8
48,P0422,Main Catalyst Efficiency,P0422,knowledge\diagnostics\fault_codes_database.md,6,keyword_fragment,8
49,P0485,P0485,Cooling Fan Power/Ground Circuit Malfunction,knowledge\diagnostics\fault_codes_database.md,1,code_to_description,9
50,P0485,Cooling Fan Power/Ground Circuit Malfunction,P0485,knowledge\diagnostics\fault_codes_database.md,2,description_to_code,9
51,P0485,What does P0485 mean?,Cooling Fan Power/Ground Circuit Malfunction,knowledge\diagnostics\fault_codes_database.md,3,nl_what_does_mean,9
52,P0485,What is P0485?,Cooling Fan Power/Ground Circuit Malfunction,knowledge\diagnostics\fault_codes_database.md,4,nl_what_is,9
53,P0485,What causes fault code P0485?,Cooling Fan Power/Ground Circuit Malfunction,knowledge\diagnostics\fault_codes_database.md,5,nl_what_causes,9
54,P0485,Cooling Fan Power/Ground,P0485,knowledge\diagnostics\fault_codes_database.md,6,keyword_fragment,9
55,P0621,P0621,"Generator Lamp ""L"" Control Circuit Malfunction",knowledge\diagnostics\fault_codes_database.md,1,code_to_description,10
56,P0621,"Generator Lamp ""L"" Control Circuit Malfunction",P0621,knowledge\diagnostics\fault_codes_database.md,2,description_to_code,10
57,P0621,What does P0621 mean?,"Generator Lamp ""L"" Control Circuit Malfunction",knowledge\diagnostics\fault_codes_database.md,3,nl_what_does_mean,10
58,P0621,What is P0621?,"Generator Lamp ""L"" Control Circuit Malfunction",knowledge\diagnostics\fault_codes_database.md,4,nl_what_is,10
59,P0621,What causes fault code P0621?,"Generator Lamp ""L"" Control Circuit Malfunction",knowledge\diagnostics\fault_codes_database.md,5,nl_what_causes,10
60,P0621,"Generator Lamp ""L""",P0621,knowledge\diagnostics\fault_codes_database.md,6,keyword_fragment,10
61,P0752,P0752,Shift Solenoid A Stuck On,knowledge\diagnostics\fault_codes_database.md,1,code_to_description,11
62,P0752,Shift Solenoid A Stuck On,P0752,knowledge\diagnostics\fault_codes_database.md,2,description_to_code,11
63,P0752,What does P0752 mean?,Shift Solenoid A Stuck On,knowledge\diagnostics\fault_codes_database.md,3,nl_what_does_mean,11
64,P0752,What is P0752?,Shift Solenoid A Stuck On,knowledge\diagnostics\fault_codes_database.md,4,nl_what_is,11
65,P0752,What causes fault code P0752?,Shift Solenoid A Stuck On,knowledge\diagnostics\fault_codes_database.md,5,nl_what_causes,11
66,P0752,Shift Solenoid Stuck,P0752,knowledge\diagnostics\fault_codes_database.md,6,keyword_fragment,11
67,P1113,P1113,IAT Sensor Open/Short,knowledge\diagnostics\fault_codes_database.md,1,code_to_description,12
68,P1113,IAT Sensor Open/Short,P1113,knowledge\diagnostics\fault_codes_database.md,2,description_to_code,12
69,P1113,What does P1113 mean?,IAT Sensor Open/Short,knowledge\diagnostics\fault_codes_database.md,3,nl_what_does_mean,12
70,P1113,What is P1113?,IAT Sensor Open/Short,knowledge\diagnostics\fault_codes_database.md,4,nl_what_is,12
71,P1113,What causes fault code P1113?,IAT Sensor Open/Short,knowledge\diagnostics\fault_codes_database.md,5,nl_what_causes,12
72,P1113,IAT Open/Short,P1113,knowledge\diagnostics\fault_codes_database.md,6,keyword_fragment,12
73,P1180,P1180,Fuel Delivery System Malfunction- Low,knowledge\diagnostics\fault_codes_database.md,1,code_to_description,13
74,P1180,Fuel Delivery System Malfunction- Low,P1180,knowledge\diagnostics\fault_codes_database.md,2,description_to_code,13
75,P1180,What does P1180 mean?,Fuel Delivery System Malfunction- Low,knowledge\diagnostics\fault_codes_database.md,3,nl_what_does_mean,13
76,P1180,What is P1180?,Fuel Delivery System Malfunction- Low,knowledge\diagnostics\fault_codes_database.md,4,nl_what_is,13
77,P1180,What causes fault code P1180?,Fuel Delivery System Malfunction- Low,knowledge\diagnostics\fault_codes_database.md,5,nl_what_causes,13
78,P1180,Fuel Delivery Malfunction-,P1180,knowledge\diagnostics\fault_codes_database.md,6,keyword_fragment,13
79,P1236,P1236,Fuel Pump Control Out Of Range,knowledge\diagnostics\fault_codes_database.md,1,code_to_description,14
80,P1236,Fuel Pump Control Out Of Range,P1236,knowledge\diagnostics\fault_codes_database.md,2,description_to_code,14
81,P1236,What does P1236 mean?,Fuel Pump Control Out Of Range,knowledge\diagnostics\fault_codes_database.md,3,nl_what_does_mean,14
82,P1236,What is P1236?,Fuel Pump Control Out Of Range,knowledge\diagnostics\fault_codes_database.md,4,nl_what_is,14
83,P1236,What causes fault code P1236?,Fuel Pump Control Out Of Range,knowledge\diagnostics\fault_codes_database.md,5,nl_what_causes,14
84,P1236,Fuel Pump Out,P1236,knowledge\diagnostics\fault_codes_database.md,6,keyword_fragment,14
85,P1292,P1292,Injector High Side Short To GND Or VBATT- Bank 2,knowledge\diagnostics\fault_codes_database.md,1,code_to_description,15
86,P1292,Injector High Side Short To GND Or VBATT- Bank 2,P1292,knowledge\diagnostics\fault_codes_database.md,2,description_to_code,15
87,P1292,What does P1292 mean?,Injector High Side Short To GND Or VBATT- Bank 2,knowledge\diagnostics\fault_codes_database.md,3,nl_what_does_mean,15
88,P1292,What is P1292?,Injector High Side Short To GND Or VBATT- Bank 2,knowledge\diagnostics\fault_codes_database.md,4,nl_what_is,15
89,P1292,What causes fault code P1292?,Injector High Side Short To GND Or VBATT- Bank 2,knowledge\diagnostics\fault_codes_database.md,5,nl_what_causes,15
90,P1292,Injector Side Short,P1292,knowledge\diagnostics\fault_codes_database.md,6,keyword_fragment,15
91,P1380,P1380,Misfire Detected- Rough Road Data Not Available,knowledge\diagnostics\fault_codes_database.md,1,code_to_description,16
92,P1380,Misfire Detected- Rough Road Data Not Available,P1380,knowledge\diagnostics\fault_codes_database.md,2,description_to_code,16
93,P1380,What does P1380 mean?,Misfire Detected- Rough Road Data Not Available,knowledge\diagnostics\fault_codes_database.md,3,nl_what_does_mean,16
94,P1380,What is P1380?,Misfire Detected- Rough Road Data Not Available,knowledge\diagnostics\fault_codes_database.md,4,nl_what_is,16
95,P1380,What causes fault code P1380?,Misfire Detected- Rough Road Data Not Available,knowledge\diagnostics\fault_codes_database.md,5,nl_what_causes,16
96,P1380,Misfire Detected- Rough,P1380,knowledge\diagnostics\fault_codes_database.md,6,keyword_fragment,16
97,P1438,P1438,A/C Evaporator Air Temperature Circuit Range/Performance,knowledge\diagnostics\fault_codes_database.md,1,code_to_description,17
98,P1438,A/C Evaporator Air Temperature Circuit Range/Performance,P1438,knowledge\diagnostics\fault_codes_database.md,2,description_to_code,17
99,P1438,What does P1438 mean?,A/C Evaporator Air Temperature Circuit Range/Performance,knowledge\diagnostics\fault_codes_database.md,3,nl_what_does_mean,17
100,P1438,What is P1438?,A/C Evaporator Air Temperature Circuit Range/Performance,knowledge\diagnostics\fault_codes_database.md,4,nl_what_is,17
101,P1438,What causes fault code P1438?,A/C Evaporator Air Temperature Circuit Range/Performance,knowledge\diagnostics\fault_codes_database.md,5,nl_what_causes,17
102,P1438,A/C Evaporator Air,P1438,knowledge\diagnostics\fault_codes_database.md,6,keyword_fragment,17
103,P1500,P1500,Vehicle Speed Sensor Intermittent,knowledge\diagnostics\fault_codes_database.md,1,code_to_description,18
104,P1500,Vehicle Speed Sensor Intermittent,P1500,knowledge\diagnostics\fault_codes_database.md,2,description_to_code,18
105,P1500,What does P1500 mean?,Vehicle Speed Sensor Intermittent,knowledge\diagnostics\fault_codes_database.md,3,nl_what_does_mean,18
106,P1500,What is P1500?,Vehicle Speed Sensor Intermittent,knowledge\diagnostics\fault_codes_database.md,4,nl_what_is,18
107,P1500,What causes fault code P1500?,Vehicle Speed Sensor Intermittent,knowledge\diagnostics\fault_codes_database.md,5,nl_what_causes,18
108,P1500,Vehicle Speed Intermittent,P1500,knowledge\diagnostics\fault_codes_database.md,6,keyword_fragment,18
109,P1578,P1578,ETC Power Less Than Demand,knowledge\diagnostics\fault_codes_database.md,1,code_to_description,19
110,P1578,ETC Power Less Than Demand,P1578,knowledge\diagnostics\fault_codes_database.md,2,description_to_code,19
111,P1578,What does P1578 mean?,ETC Power Less Than Demand,knowledge\diagnostics\fault_codes_database.md,3,nl_what_does_mean,19
112,P1578,What is P1578?,ETC Power Less Than Demand,knowledge\diagnostics\fault_codes_database.md,4,nl_what_is,19
113,P1578,What causes fault code P1578?,ETC Power Less Than Demand,knowledge\diagnostics\fault_codes_database.md,5,nl_what_causes,19
114,P1578,ETC Power Less,P1578,knowledge\diagnostics\fault_codes_database.md,6,keyword_fragment,19
115,P1642,P1642,Fuel Pump Monitor Circuit High Input,knowledge\diagnostics\fault_codes_database.md,1,code_to_description,20
116,P1642,Fuel Pump Monitor Circuit High Input,P1642,knowledge\diagnostics\fault_codes_database.md,2,description_to_code,20
117,P1642,What does P1642 mean?,Fuel Pump Monitor Circuit High Input,knowledge\diagnostics\fault_codes_database.md,3,nl_what_does_mean,20
118,P1642,What is P1642?,Fuel Pump Monitor Circuit High Input,knowledge\diagnostics\fault_codes_database.md,4,nl_what_is,20
119,P1642,What causes fault code P1642?,Fuel Pump Monitor Circuit High Input,knowledge\diagnostics\fault_codes_database.md,5,nl_what_causes,20
120,P1642,Fuel Pump Monitor,P1642,knowledge\diagnostics\fault_codes_database.md,6,keyword_fragment,20
