"id","question","expected_route","prompt_category","csv_path"
"33","This log shows vehicle_speed is zero throughout — what faults should I look for at idle?","rag","hybrid","data/obdiidata/idle1.csv"
"34","The throttle position column here often reads near zero — does that suggest a throttle body issue?","rag","hybrid","data/obdiidata/live1.csv"
"35","MAF readings in this dataset look very low — what sensor faults can cause low MAF?","rag","hybrid","data/obdiidata/drive1.csv"
"36","There is a P0420 code alongside low vehicle speed in this log — what should I investigate first?","rag","hybrid","data/obdiidata/long1.csv"
"37","Coolant temperature spikes appear repeatedly in this CSV — what component failures produce that pattern?","rag","hybrid","data/obdiidata/live1.csv"
"38","Engine RPM drops to near zero several times in this log — what could cause intermittent stalling?","rag","hybrid","data/obdiidata/idle1.csv"
"39","This file has high fuel trim values — what diagnostic steps follow a lean trim reading?","rag","hybrid","data/obdiidata/drive1.csv"
"40","The data shows frequent full-throttle events — could aggressive driving trigger any DTCs?","rag","hybrid","data/obdiidata/long1.csv"
"41","Based on what you just told me, what is the average RPM during those high-speed periods?","pal","follow_up","data/obdiidata/drive1.csv"
"42","Now filter that same dataset to show only idle periods and compute mean coolant temperature.","pal","follow_up","data/obdiidata/idle1.csv"
"43","You mentioned the vehicle was mostly stationary — how many rows have speed exactly zero?","pal","follow_up","data/obdiidata/idle1.csv"
"44","Given the RPM values we just looked at, what is the 90th percentile?","pal","follow_up","data/obdiidata/drive1.csv"
"45","Using the same file, what is the average throttle position when engine RPM is above 2000?","pal","follow_up","data/obdiidata/drive1.csv"
"46","From what you said about the misfire code, what should I physically inspect next?","rag","follow_up","data/obdiidata/drive1.csv"
"47","You mentioned lean fuel trims — does that typically affect idle stability as well?","rag","follow_up","data/obdiidata/drive1.csv"
"48","We identified P0420 earlier — what is the next step after checking the catalytic converter?","rag","follow_up","data/obdiidata/live1.csv"
"49","Following on from the overheating diagnosis, what coolant system components should I test?","rag","follow_up","data/obdiidata/idle1.csv"
"50","You said the oxygen sensor could be faulty — how do I test it with a multimeter?","rag","follow_up","data/obdiidata/drive1.csv"
"51","Based on the previous answer, how many rows exceed that threshold in this log?","pal","follow_up","data/obdiidata/drive1.csv"
"52","Can you now compute the standard deviation of engine RPM for this file?","pal","follow_up","data/obdiidata/long1.csv"
"53","Following on from the fuel trim discussion, what is the expected STFT range for a healthy engine?","rag","follow_up","data/obdiidata/drive1.csv"
"54","We saw high RPM earlier — does sustained high RPM with low speed suggest a clutch or transmission fault?","rag","follow_up","data/obdiidata/long1.csv"
"55","Now that we've checked the sensor values, what is the percentage of rows with throttle above 50?","pal","follow_up","data/obdiidata/live1.csv"
"56","What is the maximum engine RPM recorded when coolant temperature is below 70?","pal","unambiguous","data/obdiidata/drive1.csv"
"57","What is the mean MAF when vehicle speed exceeds 30?","pal","unambiguous","data/obdiidata/long1.csv"
"58","How do I confirm whether an EGR valve fault is mechanical or electrical?","rag","unambiguous","data/obdiidata/long1.csv"
"59","What common root causes produce high hydrocarbon emissions at the tailpipe?","rag","unambiguous","data/obdiidata/drive1.csv"
"60","What is a sensible inspection sequence when multiple DTCs are stored simultaneously?","rag","unambiguous","data/obdiidata/idle1.csv"
